scenario,policy,timestamp,state,equity,drawdown_pct
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-08T23:55:00Z,OPEN,7185.101996,28.149
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-09T15:40:00Z,FLAT,7170.119726,28.2988
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-10T15:05:00Z,FLAT,7162.009597,28.3799
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-13T21:05:00Z,FLAT,7160.378381,28.3962
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-14T18:05:00Z,FLAT,7144.175097,28.5582
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-15T02:05:00Z,FLAT,7141.17451,28.5883
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-23T23:50:00Z,FLAT,7141.84013,28.5816
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-24T12:35:00Z,FLAT,7124.842999,28.7516
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-27T23:55:00Z,OPEN,7113.11657,28.8688
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-28T20:05:00Z,FLAT,7097.221513,29.0278
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-29T23:55:00Z,OPEN,7106.280751,28.9372
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-30T20:05:00Z,FLAT,7072.25589,29.2774
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-08-31T13:05:00Z,FLAT,7059.793165,29.4021
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-07T23:55:00Z,OPEN,7060.336798,29.3966
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-08T08:20:00Z,FLAT,7048.063271,29.5194
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-10T01:05:00Z,FLAT,7045.600746,29.544
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-12T22:10:00Z,FLAT,7029.397261,29.706
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-13T23:35:00Z,FLAT,7011.069571,29.8893
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-14T23:55:00Z,OPEN,6997.502811,30.025
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-15T23:55:00Z,OPEN,6983.034142,30.1697
