policy,sequence,kind,signal_close_at,scheduled_at,actual_at,price,quantity,reason,trade_id
B_gate_cooldown,3938,ENTRY_FILLED,2024-02-08T07:45:00Z,2024-02-08T07:50:00Z,2024-02-08T07:50:00Z,44507.85034,0.02246794649,,B_gate_cooldown-T03938-19071
B_gate_cooldown,3938,EXIT_FILLED,2024-02-08T07:45:00Z,2024-02-08T08:50:00Z,2024-02-08T08:50:00Z,44685.63099,0.02246794649,,B_gate_cooldown-T03938-19071
B_gate_cooldown,3939,ENTRY_FILLED,2024-02-08T08:45:00Z,2024-02-08T08:50:00Z,2024-02-08T08:50:00Z,44694.56901,0.02237408307,,B_gate_cooldown-T03939-19073
B_gate_cooldown,3939,EXIT_FILLED,2024-02-08T08:45:00Z,2024-02-08T09:50:00Z,2024-02-08T09:50:00Z,44674.73208,0.02237408307,,B_gate_cooldown-T03939-19073
B_gate_cooldown,3940,ENTRY_FILLED,2024-02-08T09:45:00Z,2024-02-08T09:50:00Z,2024-02-08T09:50:00Z,44683.66792,0.02237954149,,B_gate_cooldown-T03940-19075
B_gate_cooldown,3940,EXIT_FILLED,2024-02-08T09:45:00Z,2024-02-08T10:50:00Z,2024-02-08T10:50:00Z,44801.01945,0.02237954149,,B_gate_cooldown-T03940-19075
B_gate_cooldown,3941,ENTRY_FILLED,2024-02-08T10:45:00Z,2024-02-08T10:50:00Z,2024-02-08T10:50:00Z,44809.98055,0.02231645691,,B_gate_cooldown-T03941-19077
B_gate_cooldown,3941,EXIT_FILLED,2024-02-08T10:45:00Z,2024-02-08T11:50:00Z,2024-02-08T11:50:00Z,44728.62669,0.02231645691,,B_gate_cooldown-T03941-19077
B_gate_cooldown,3942,ENTRY_FILLED,2024-02-08T11:45:00Z,2024-02-08T11:50:00Z,2024-02-08T11:50:00Z,44737.57331,0.02235257583,,B_gate_cooldown-T03942-19079
B_gate_cooldown,3942,EXIT_FILLED,2024-02-08T11:45:00Z,2024-02-08T12:50:00Z,2024-02-08T12:50:00Z,44635.43601,0.02235257583,,B_gate_cooldown-T03942-19079
B_gate_cooldown,3943,ENTRY_FILLED,2024-02-08T13:15:00Z,2024-02-08T13:20:00Z,2024-02-08T13:20:00Z,44713.27088,0.02236472484,,B_gate_cooldown-T03943-19081
B_gate_cooldown,3943,EXIT_FILLED,2024-02-08T13:15:00Z,2024-02-08T14:20:00Z,2024-02-08T14:20:00Z,45045.39501,0.02236472484,,B_gate_cooldown-T03943-19081
B_gate_cooldown,3944,ENTRY_FILLED,2024-02-08T14:15:00Z,2024-02-08T14:20:00Z,2024-02-08T14:20:00Z,45054.40499,0.022195388,,B_gate_cooldown-T03944-19083
B_gate_cooldown,3944,EXIT_FILLED,2024-02-08T14:15:00Z,2024-02-08T15:20:00Z,2024-02-08T15:20:00Z,45162.28332,0.022195388,,B_gate_cooldown-T03944-19083
B_gate_cooldown,3945,ENTRY_FILLED,2024-02-08T15:15:00Z,2024-02-08T15:20:00Z,2024-02-08T15:20:00Z,45171.31668,0.02213794225,,B_gate_cooldown-T03945-19085
B_gate_cooldown,3945,EXIT_FILLED,2024-02-08T15:15:00Z,2024-02-08T16:20:00Z,2024-02-08T16:20:00Z,45202.07934,0.02213794225,,B_gate_cooldown-T03945-19085
B_gate_cooldown,3946,ENTRY_FILLED,2024-02-08T16:15:00Z,2024-02-08T16:20:00Z,2024-02-08T16:20:00Z,45211.12066,0.02211845195,,B_gate_cooldown-T03946-19087
B_gate_cooldown,3946,EXIT_FILLED,2024-02-08T16:15:00Z,2024-02-08T17:20:00Z,2024-02-08T17:20:00Z,44931.00645,0.02211845195,,B_gate_cooldown-T03946-19087
B_gate_cooldown,3947,ENTRY_FILLED,2024-02-08T17:30:00Z,2024-02-08T17:35:00Z,2024-02-08T17:35:00Z,45146.91424,0.02214990807,,B_gate_cooldown-T03947-19089
B_gate_cooldown,3947,EXIT_FILLED,2024-02-08T17:30:00Z,2024-02-08T18:35:00Z,2024-02-08T18:35:00Z,45154.18413,0.02214990807,,B_gate_cooldown-T03947-19089
B_gate_cooldown,3948,ENTRY_FILLED,2024-02-08T18:30:00Z,2024-02-08T18:35:00Z,2024-02-08T18:35:00Z,45163.21587,0.02214191308,,B_gate_cooldown-T03948-19091
B_gate_cooldown,3948,EXIT_FILLED,2024-02-08T18:30:00Z,2024-02-08T19:35:00Z,2024-02-08T19:35:00Z,45334.4661,0.02214191308,,B_gate_cooldown-T03948-19091
B_gate_cooldown,3949,ENTRY_FILLED,2024-02-08T19:30:00Z,2024-02-08T19:35:00Z,2024-02-08T19:35:00Z,45343.5339,0.02205386113,,B_gate_cooldown-T03949-19093
B_gate_cooldown,3949,EXIT_FILLED,2024-02-08T19:30:00Z,2024-02-08T20:35:00Z,2024-02-08T20:35:00Z,45507.24882,0.02205386113,,B_gate_cooldown-T03949-19093
