policy,timestamp,state,mark_price,quantity,cash,reserved,unrealized_pnl,equity,drawdown_pct
B_gate_cooldown,2025-03-17T06:05:00Z,FLAT,83208.1,0,1737.204888,0,0,1737.204888,84.2064
B_gate_cooldown,2025-03-17T09:05:00Z,FLAT,83445.8,0,1735.948727,0,0,1735.948727,75.1318
B_gate_cooldown,2025-03-17T10:05:00Z,FLAT,83513.2,0,1735.555991,0,0,1735.555991,75.1354
B_gate_cooldown,2025-03-17T11:05:00Z,FLAT,83237.5,0,1731.057147,0,0,1731.057147,84.2623
B_gate_cooldown,2025-03-17T13:05:00Z,FLAT,82850.6,0,1723.452926,0,0,1723.452926,84.3314
B_gate_cooldown,2025-03-17T17:05:00Z,FLAT,83500,0,1721.664584,0,0,1721.664584,75.2617
B_gate_cooldown,2025-03-17T18:05:00Z,FLAT,84219.1,0,1729.070652,0,0,1729.070652,75.1944
B_gate_cooldown,2025-03-17T19:05:00Z,FLAT,84415.8,0,1730.204712,0,0,1730.204712,75.1841
B_gate_cooldown,2025-03-17T20:05:00Z,FLAT,84219.9,0,1726.685801,0,0,1726.685801,75.216
B_gate_cooldown,2025-03-17T21:05:00Z,FLAT,83973.4,0,1722.561108,0,0,1722.561108,84.3395
B_gate_cooldown,2025-03-17T22:20:00Z,FLAT,84113.8,0,1722.104301,0,0,1722.104301,75.2577
B_gate_cooldown,2025-03-17T23:20:00Z,FLAT,83934.2,0,1718.770713,0,0,1718.770713,84.374
B_gate_cooldown,2025-03-18T00:50:00Z,FLAT,83714.8,0,1713.494347,0,0,1713.494347,84.4219
B_gate_cooldown,2025-03-18T00:50:00Z,FLAT,83714.8,0,1713.494347,0,0,1713.494347,84.4219
B_gate_cooldown,2025-03-19T23:55:00Z,OPEN,86740,0.01159707736,1727.045881,1000,5.930490226,2732.976371,75.1534
B_gate_cooldown,2025-03-19T09:05:00Z,FLAT,83341.4,0,1714.074616,0,0,1714.074616,75.3307
B_gate_cooldown,2025-03-19T10:05:00Z,FLAT,83617.3,0,1716.182898,0,0,1716.182898,75.3115
B_gate_cooldown,2025-03-19T11:05:00Z,FLAT,83351.5,0,1711.806475,0,0,1711.806475,75.3513
B_gate_cooldown,2025-03-19T12:05:00Z,FLAT,83707.1,0,1714.869879,0,0,1714.869879,75.3235
B_gate_cooldown,2025-03-19T13:05:00Z,FLAT,83681.5,0,1713.364385,0,0,1713.364385,75.3372
B_gate_cooldown,2025-03-19T14:05:00Z,FLAT,84324.4,0,1719.841829,0,0,1719.841829,75.2783
B_gate_cooldown,2025-03-19T15:05:00Z,FLAT,84252.4,0,1717.788702,0,0,1717.788702,75.2969
B_gate_cooldown,2025-03-19T16:05:00Z,FLAT,84546,0,1720.07115,0,0,1720.07115,75.2762
B_gate_cooldown,2025-03-19T17:05:00Z,FLAT,84543.4,0,1718.840539,0,0,1718.840539,75.2874
B_gate_cooldown,2025-03-19T18:05:00Z,FLAT,84126.8,0,1712.716461,0,0,1712.716461,84.429
B_gate_cooldown,2025-03-19T19:20:00Z,FLAT,85547.6,0,1724.505723,0,0,1724.505723,75.2359
B_gate_cooldown,2025-03-19T20:20:00Z,FLAT,85747.6,0,1725.642087,0,0,1725.642087,75.2255
B_gate_cooldown,2025-03-19T21:20:00Z,FLAT,85653.8,0,1723.349064,0,0,1723.349064,75.2464
B_gate_cooldown,2025-03-19T22:20:00Z,FLAT,85822.9,0,1724.122029,0,0,1724.122029,75.2394
B_gate_cooldown,2025-03-19T23:20:00Z,FLAT,86220,0,1727.545881,0,0,1727.545881,75.2082
B_gate_cooldown,2025-03-20T16:05:00Z,FLAT,84744.9,0,1689.00536,0,0,1689.00536,84.6446
B_gate_cooldown,2025-03-20T00:20:00Z,FLAT,87088.4,0,1736.41086,0,0,1736.41086,75.1276
B_gate_cooldown,2025-03-20T01:20:00Z,FLAT,86331.3,0,1726.523599,0,0,1726.523599,75.2175
B_gate_cooldown,2025-03-20T02:20:00Z,FLAT,85721.9,0,1718.269806,0,0,1718.269806,84.3785
B_gate_cooldown,2025-03-20T03:50:00Z,FLAT,85927.3,0,1717.054808,0,0,1717.054808,84.3896
B_gate_cooldown,2025-03-20T07:05:00Z,FLAT,85713.3,0,1714.554353,0,0,1714.554353,84.4123
B_gate_cooldown,2025-03-20T08:20:00Z,FLAT,85823.1,0,1713.314886,0,0,1713.314886,84.4236
B_gate_cooldown,2025-03-20T09:35:00Z,FLAT,85919.9,0,1712.760922,0,0,1712.760922,75.3426
B_gate_cooldown,2025-03-20T10:35:00Z,FLAT,85260.9,0,1703.896475,0,0,1703.896475,84.5092
B_gate_cooldown,2025-03-20T15:05:00Z,FLAT,85516,0,1699.215955,0,0,1699.215955,75.4658
B_gate_cooldown,2025-03-20T16:05:00Z,FLAT,84744.9,0,1689.00536,0,0,1689.00536,84.6446
B_gate_cooldown,2025-03-22T12:05:00Z,FLAT,84170.1,0,1679.881997,0,0,1679.881997,84.7275
